id,week,weight,regime,gender,dosage
B38602,1,236.1,Control,Male,11%
B38602,2,282.6,Control,Male,11%
B38602,3,336,Control,Male,11%
B38602,4,376.8,Control,Male,11%
B38602,5,403.9,Control,Male,11%
B38602,6,414.3,Control,Male,11%
B38602,7,443.3,Control,Male,11%
B38602,8,460.4,Control,Male,11%
B38602,9,473.8,Control,Male,11%
B38602,10,493.8,Control,Male,11%
B38602,11,498.1,Control,Male,11%
B38602,12,492.3,Control,Male,11%
B38602,13,510.8,Control,Male,11%
B38602,14,514.9,Control,Male,11%
B38603,1,230.1,Control,Male,11%
B38603,2,277.2,Control,Male,11%
B38603,3,324.5,Control,Male,11%
B38603,4,356.6,Control,Male,11%
B38603,5,386.6,Control,Male,11%
B38603,6,392.6,Control,Male,11%
B38603,7,420.9,Control,Male,11%
B38603,8,438.5,Control,Male,11%
B38603,9,454.7,Control,Male,11%
B38603,10,468.2,Control,Male,11%
B38603,11,474.6,Control,Male,11%
B38603,12,485.8,Control,Male,11%
B38603,13,495.1,Control,Male,11%
B38603,14,505,Control,Male,11%
B38604,1,230.2,Control,Male,11%
B38604,2,286,Control,Male,11%
B38604,3,337.1,Control,Male,11%
B38604,4,374,Control,Male,11%
B38604,5,410,Control,Male,11%
B38604,6,422.4,Control,Male,11%
B38604,7,456.9,Control,Male,11%
B38604,8,485.3,Control,Male,11%
B38604,9,493.7,Control,Male,11%
B38604,10,515,Control,Male,11%
B38604,11,518.3,Control,Male,11%
B38604,12,528.8,Control,Male,11%
B38604,13,532,Control,Male,11%
B38604,14,545.1,Control,Male,11%
B38605,1,236.4,Control,Male,11%
B38605,2,299.8,Control,Male,11%
B38605,3,358.6,Control,Male,11%
B38605,4,404.4,Control,Male,11%
B38605,5,438,Control,Male,11%
B38605,6,468.8,Control,Male,11%
B38605,7,494.6,Control,Male,11%
B38605,8,510.2,Control,Male,11%
B38605,9,497.4,Control,Male,11%
B38605,10,518.5,Control,Male,11%
B38605,11,570.6,Control,Male,11%
B38605,12,586.8,Control,Male,11%
B38605,13,591.7,Control,Male,11%
B38605,14,596.6,Control,Male,11%
B38606,1,232.3,Control,Male,11%
B38606,2,281.8,Control,Male,11%
B38606,3,309.5,Control,Male,11%
B38606,4,363.3,Control,Male,11%
B38606,5,390.9,Control,Male,11%
B38606,6,405,Control,Male,11%
B38606,7,435.9,Control,Male,11%
B38606,8,452.5,Control,Male,11%
B38606,9,467.4,Control,Male,11%
B38606,10,484.3,Control,Male,11%
B38606,11,498.7,Control,Male,11%
B38606,12,510.3,Control,Male,11%
B38606,13,512.8,Control,Male,11%
B38606,14,516.8,Control,Male,11%
B38607,1,232.4,Control,Male,11%
B38607,2,274.7,Control,Male,11%
B38607,3,329.9,Control,Male,11%
B38607,4,361,Control,Male,11%
B38607,5,385.6,Control,Male,11%
B38607,6,399.5,Control,Male,11%
B38607,7,429.6,Control,Male,11%
B38607,8,447.1,Control,Male,11%
B38607,9,464.6,Control,Male,11%
B38607,10,480.8,Control,Male,11%
B38607,11,496.2,Control,Male,11%
B38607,12,511.9,Control,Male,11%
B38607,13,520.8,Control,Male,11%
B38607,14,518.1,Control,Male,11%
B38608,1,223.1,Control,Male,11%
B38608,2,266.1,Control,Male,11%
B38608,3,318.5,Control,Male,11%
B38608,4,351.5,Control,Male,11%
B38608,5,382.6,Control,Male,11%
B38608,6,388.9,Control,Male,11%
B38608,7,435.8,Control,Male,11%
B38608,8,459.1,Control,Male,11%
B38608,9,485.8,Control,Male,11%
B38608,10,494.9,Control,Male,11%
B38608,11,518.3,Control,Male,11%
B38608,12,524.7,Control,Male,11%
B38608,13,539.5,Control,Male,11%
B38608,14,539,Control,Male,11%
B38609,1,226.5,Control,Male,11%
B38609,2,270.6,Control,Male,11%
B38609,3,313.4,Control,Male,11%
B38609,4,347.6,Control,Male,11%
B38609,5,363.4,Control,Male,11%
B38609,6,381.6,Control,Male,11%
B38609,7,417.4,Control,Male,11%
B38609,8,431.9,Control,Male,11%
B38609,9,444.8,Control,Male,11%
B38609,10,456.5,Control,Male,11%
B38609,11,452.9,Control,Male,11%
B38609,12,449.9,Control,Male,11%
B38609,13,457.4,Control,Male,11%
B38609,14,470.6,Control,Male,11%
B38610,1,226.4,Control,Male,11%
B38610,2,276.3,Control,Male,11%
B38610,3,330.5,Control,Male,11%
B38610,4,364.2,Control,Male,11%
B38610,5,400.7,Control,Male,11%
B38610,6,410.9,Control,Male,11%
B38610,7,441.5,Control,Male,11%
B38610,8,465.2,Control,Male,11%
B38610,9,486.7,Control,Male,11%
B38610,10,510.9,Control,Male,11%
B38610,11,525.5,Control,Male,11%
B38610,12,536.2,Control,Male,11%
B38610,13,546.3,Control,Male,11%
B38610,14,554.8,Control,Male,11%
B38611,1,236,Control,Male,11%
B38611,2,280,Control,Male,11%
B38611,3,322.5,Control,Male,11%
B38611,4,355.4,Control,Male,11%
B38611,5,379.9,Control,Male,11%
B38611,6,383.4,Control,Male,11%
B38611,7,415.6,Control,Male,11%
B38611,8,436,Control,Male,11%
B38611,9,439.6,Control,Male,11%
B38611,10,441.1,Control,Male,11%
B38611,11,448.1,Control,Male,11%
B38611,12,456.7,Control,Male,11%
B38611,13,467.9,Control,Male,11%
B38611,14,476.8,Control,Male,11%
B38612,1,224,Control,Male,11%
B38612,2,276.3,Control,Male,11%
