obs,treat,rat,age,response
1,con,3,50,75.0067
2,con,3,60,78.5684
3,con,3,70,79.925
4,con,3,80,80.7775
5,con,5,50,67.9559
6,con,6,50,76.0066
7,con,6,60,78.2943
8,con,6,70,81.2158
9,con,9,50,70.8308
10,con,9,60,74.9533
11,con,9,70,75.1665
12,con,9,80,77.666
13,con,9,90,82.7345
14,con,11,50,71.8471
15,con,11,60,75.1332
16,con,11,70,76.2168
17,con,20,50,72.8354
18,con,20,60,78.5684
19,con,20,70,80.604
20,con,20,80,82.0731
21,con,22,50,70.7248
22,con,22,60,74.8131
23,con,22,70,75.1665
24,con,22,80,77.0065
25,con,22,90,81.0247
26,con,22,100,78.492
27,con,22,110,81.8413
28,con,23,50,74.5185
29,con,24,50,73.4983
30,con,24,60,75.591
31,con,24,70,77.9359
32,con,24,80,79.196
33,con,24,90,81.0247
34,con,24,100,82.4621
35,con,24,110,86.2844
36,con,25,50,69.6419
37,con,25,60,74.0945
38,con,25,70,78.3901
39,con,26,50,74.027
40,con,26,60,77.5242
41,con,26,70,81.8352
42,con,26,80,81.6333
43,con,43,50,70.2922
44,con,43,60,76.0263
45,con,43,70,77.8332
46,con,43,80,79.511
47,con,43,90,80.2808
48,con,44,50,70.8025
49,con,44,60,75.2861
50,con,44,70,78.3901
51,con,44,80,80.9197
52,con,44,90,79.6053
53,con,44,100,80.6226
54,con,44,110,82.662
55,con,47,50,66.8431
56,con,47,60,73
57,con,47,70,74.6525
58,con,47,80,77.4661
59,con,47,90,77.1038
60,con,48,50,70.6045
61,con,48,60,74.9533
62,con,48,70,78.4092
63,con,48,80,78.6003
64,con,48,90,80.7217
65,con,48,100,82.801
66,con,48,110,83.006
67,hig,1,50,69.3397
68,hig,1,60,73.2462
69,hig,1,70,77.3886
70,hig,1,80,78.1025
71,hig,1,90,76.4853
72,hig,1,100,77.801
73,hig,1,110,79.0569
74,hig,7,50,70.8025
75,hig,7,60,75
76,hig,7,70,76.844
